strain	region	country
Argentina/PAIS-G0315/2021	South America	Argentina
Argentina/PAIS-A0503/2021	South America	Argentina
Argentina/PAIS-G0325/2021	South America	Argentina
Argentina/PAIS-J00062/2021	South America	Argentina
Argentina/INEI106465/2021	South America	Argentina
Argentina/INEI106963/2021	South America	Argentina
Argentina/INEI106753/2021	South America	Argentina
Argentina/INEI106389/2021	South America	Argentina
Argentina/INEI107294/2021	South America	Argentina
Argentina/INEI107493/2021	South America	Argentina
Argentina/PAIS-E0383/2021	South America	Argentina
Argentina/PAIS-E0358/2021	South America	Argentina
Argentina/PAIS-E0380/2021	South America	Argentina
Argentina/INEI107621/2021	South America	Argentina
Argentina/INEI106293/2021	South America	Argentina
Argentina/INEI106263/2021	South America	Argentina
Argentina/INEI106299/2021	South America	Argentina
Argentina/PAIS-E0362/2021	South America	Argentina
Argentina/PAIS-E0372/2021	South America	Argentina
Argentina/INEI106298/2021	South America	Argentina
Argentina/PAIS-E0351/2021	South America	Argentina
Argentina/PAIS-E0357/2021	South America	Argentina
Argentina/PAIS-E0373/2021	South America	Argentina
Argentina/INEI105305/2021	South America	Argentina
Argentina/INEI106631/2021	South America	Argentina
Argentina/INEI106347/2021	South America	Argentina
Argentina/INEI106384/2021	South America	Argentina
Argentina/INEI106405/2021	South America	Argentina
Argentina/INEI106213/2021	South America	Argentina
Argentina/INEI106404/2021	South America	Argentina
Argentina/INEI106220/2021	South America	Argentina
Argentina/INEI106460/2021	South America	Argentina
Argentina/INEI106222/2021	South America	Argentina
Argentina/INEI106432/2021	South America	Argentina
Argentina/INEI106444/2021	South America	Argentina
Argentina/INEI106472/2021	South America	Argentina
Argentina/INEI106363/2021	South America	Argentina
Argentina/INEI107839/2021	South America	Argentina
Argentina/PAIS-E0356/2021	South America	Argentina
Argentina/INEI106556/2021	South America	Argentina
Argentina/INEI105496/2021	South America	Argentina
Argentina/INEI105533/2021	South America	Argentina
Argentina/INEI105535/2021	South America	Argentina
Argentina/INEI105532/2021	South America	Argentina
Argentina/INEI105314/2021	South America	Argentina
Argentina/INEI105303/2021	South America	Argentina
Argentina/INEI105327/2021	South America	Argentina
Argentina/INEI105465/2021	South America	Argentina
Argentina/INEI105495/2021	South America	Argentina
Argentina/INEI105471/2021	South America	Argentina
Argentina/INEI105397/2021	South America	Argentina
Argentina/INEI105360/2021	South America	Argentina
Argentina/INEI105325/2021	South America	Argentina
Argentina/INEI105501/2021	South America	Argentina
Argentina/INEI105497/2021	South America	Argentina
Argentina/INEI106094/2021	South America	Argentina
Argentina/INEI106084/2021	South America	Argentina
Argentina/INEI105840/2021	South America	Argentina
Argentina/INEI105324/2021	South America	Argentina
Argentina/INEI105494/2021	South America	Argentina
Argentina/INEI105480/2021	South America	Argentina
Argentina/INEI105331/2021	South America	Argentina
Argentina/INEI106367/2021	South America	Argentina
Argentina/INEI106280/2021	South America	Argentina
Argentina/INEI106260/2021	South America	Argentina
Argentina/INEI106274/2021	South America	Argentina
Argentina/INEI106253/2021	South America	Argentina
Argentina/INEI106281/2021	South America	Argentina
Argentina/INEI107763/2021	South America	Argentina
Argentina/INEI106373/2021	South America	Argentina
Argentina/INEI107607/2021	South America	Argentina
Argentina/INEI107618/2021	South America	Argentina
Argentina/INEI107219/2021	South America	Argentina
Argentina/INEI107606/2021	South America	Argentina
Argentina/INEI105214/2021	South America	Argentina
Argentina/INEI105282/2021	South America	Argentina
Argentina/INEI105300/2021	South America	Argentina
Argentina/INEI105295/2021	South America	Argentina
Argentina/INEI105218/2021	South America	Argentina
Argentina/INEI105351/2021	South America	Argentina
Argentina/INEI104940/2021	South America	Argentina
Argentina/INEI105845/2021	South America	Argentina
Argentina/INEI106365/2021	South America	Argentina
