strain	region	country
Belgium/MBLGOT11282050/2021	Europe	Belgium
Belgium/ULB-IBC_CV8295301772/2021	Europe	Belgium
Belgium/AZDelta-2143-20870/2021	Europe	Belgium
Belgium/Jessa_55-2144-000998/2021	Europe	Belgium
Belgium/Jessa_11-2143-008589/2021	Europe	Belgium
Belgium/CHUNamur13851728/2021	Europe	Belgium
Belgium/CHUNamur13814260/2021	Europe	Belgium
Belgium/rega-22302/2021	Europe	Belgium
Belgium/AZDelta-2151-03039/2021	Europe	Belgium
Belgium/AZDelta-2151-02864/2021	Europe	Belgium
Belgium/MBLGPF51980764/2021	Europe	Belgium
Belgium/SJ4530193/2021	Europe	Belgium
Belgium/SJ4524638/2021	Europe	Belgium
Belgium/UZA-UA-8816714140/2021	Europe	Belgium
Belgium/UMONS-P02-95429-01/2021	Europe	Belgium
Belgium/ZNA_21826946/2021	Europe	Belgium
Belgium/54820210818003/2021	Europe	Belgium
Belgium/UZA-UA-CV8250312263/2021	Europe	Belgium
Belgium/rega-18681/2021	Europe	Belgium
Belgium/rega-18634/2021	Europe	Belgium
Belgium/ULB-IBC_CV8155270754/2021	Europe	Belgium
Belgium/rega-18917/2021	Europe	Belgium
Belgium/CHUNamur13569041/2021	Europe	Belgium
Belgium/AZDelta-2145-05686/2021	Europe	Belgium
Belgium/ULB-IBC_CV8203594639/2021	Europe	Belgium
Belgium/UGent-8171/2021	Europe	Belgium
Belgium/MBLGPF40063679/2021	Europe	Belgium
Belgium/ULG-20655/2021	Europe	Belgium
Belgium/ULG-21684/2021	Europe	Belgium
Belgium/ZNA-21905178/2021	Europe	Belgium
Belgium/CHUNamur13827896/2021	Europe	Belgium
Belgium/CHUNamur13830204/2021	Europe	Belgium
Belgium/UGent-9038/2021	Europe	Belgium
Belgium/UMONS-P02-84447-01/2021	Europe	Belgium
Belgium/Jessa_11-2145-002881/2021	Europe	Belgium
Belgium/AZDelta-2149-09966/2021	Europe	Belgium
Belgium/ZNA_21566483/2021	Europe	Belgium
Belgium/rega-22117/2021	Europe	Belgium
Belgium/ULG-23070/2021	Europe	Belgium
Belgium/rega-21944/2021	Europe	Belgium
Belgium/AZDelta-2150-07673/2021	Europe	Belgium
Belgium/Jessa_55-2137-000324/2021	Europe	Belgium
Belgium/rega-22189/2021	Europe	Belgium
Belgium/CHUNamur13850751/2021	Europe	Belgium
Belgium/UMONS-P02-49890-01/2021	Europe	Belgium
Belgium/Jessa_55-2149-001318/2021	Europe	Belgium
Belgium/AZDelta-2150-05903/2021	Europe	Belgium
Belgium/CHUNamur13875734/2021	Europe	Belgium
Belgium/IPG-1016/2021	Europe	Belgium
Belgium/ULG-23165/2021	Europe	Belgium
Belgium/ULB-IBC_CV8338766967/2021	Europe	Belgium
Belgium/UGent-11619/2021	Europe	Belgium
Belgium/ULB-IBC_CV8246899580/2021	Europe	Belgium
Belgium/Briant-12118687601/2021	Europe	Belgium
Belgium/AZDelta-2146-05073/2021	Europe	Belgium
Belgium/UMONS-P033353801/2021	Europe	Belgium
Belgium/AZDelta-2150-07179/2021	Europe	Belgium
Belgium/AZDelta-2150-07579/2021	Europe	Belgium
Belgium/ULB-IBC_CV8295345323/2021	Europe	Belgium
Belgium/UZA-UA-8815838810/2021	Europe	Belgium
Belgium/CHUNamur13564735/2021	Europe	Belgium
Belgium/Jessa_55-2150-000111/2021	Europe	Belgium
