strain	region	country
Australia/SA101649/2022	Oceania	Australia
Australia/SA101803/2022	Oceania	Australia
Australia/SA101897/2022	Oceania	Australia
Australia/SA103693/2022	Oceania	Australia
Australia/SA103773/2022	Oceania	Australia
Australia/SA103826/2022	Oceania	Australia
Australia/SA103843/2022	Oceania	Australia
Australia/SA104792/2022	Oceania	Australia
Australia/QLD7954/2021	Oceania	Australia
Australia/VIC35094/2022	Oceania	Australia
Australia/WA1198/2022	Oceania	Australia
Australia/VIC35234/2022	Oceania	Australia
Australia/VIC39044/2022	Oceania	Australia
Australia/VIC39151/2022	Oceania	Australia
Australia/VIC39272/2022	Oceania	Australia
Australia/VIC39425/2022	Oceania	Australia
Australia/VIC39432/2022	Oceania	Australia
Australia/VIC40071/2022	Oceania	Australia
Australia/VIC40103/2022	Oceania	Australia
Australia/VIC40459/2022	Oceania	Australia
Australia/VIC41025/2022	Oceania	Australia
Australia/VIC41156/2022	Oceania	Australia
Australia/VIC41300/2022	Oceania	Australia
Australia/VIC42137/2022	Oceania	Australia
Australia/VIC42142/2022	Oceania	Australia
Australia/VIC42224/2022	Oceania	Australia
Australia/WA1041/2022	Oceania	Australia
Australia/WA1052/2022	Oceania	Australia
Australia/WA1061/2022	Oceania	Australia
Australia/WA1067/2022	Oceania	Australia
Australia/WA1070/2022	Oceania	Australia
Australia/VIC39017/2022	Oceania	Australia
Australia/VIC38836/2022	Oceania	Australia
Australia/VIC38834/2022	Oceania	Australia
Australia/VIC38832/2022	Oceania	Australia
Australia/VIC38124/2022	Oceania	Australia
Australia/VIC38134/2022	Oceania	Australia
Australia/VIC38172/2022	Oceania	Australia
Australia/VIC38206/2022	Oceania	Australia
Australia/VIC38257/2022	Oceania	Australia
Australia/VIC38358/2022	Oceania	Australia
Australia/VIC38378/2022	Oceania	Australia
Australia/VIC38389/2022	Oceania	Australia
Australia/VIC38392/2022	Oceania	Australia
Australia/WA1071/2022	Oceania	Australia
Australia/VIC38405/2022	Oceania	Australia
Australia/VIC38447/2022	Oceania	Australia
Australia/VIC38501/2022	Oceania	Australia
Australia/VIC38545/2022	Oceania	Australia
Australia/VIC38549/2022	Oceania	Australia
Australia/VIC38591/2022	Oceania	Australia
Australia/VIC38611/2022	Oceania	Australia
Australia/VIC38781/2022	Oceania	Australia
Australia/VIC38804/2022	Oceania	Australia
Australia/VIC38808/2022	Oceania	Australia
Australia/VIC38443/2022	Oceania	Australia
Australia/WA1095/2022	Oceania	Australia
Australia/WA1104/2022	Oceania	Australia
Australia/WA1114/2022	Oceania	Australia
Australia/WA1604/2022	Oceania	Australia
Australia/WA1609/2022	Oceania	Australia
Australia/WA1619/2022	Oceania	Australia
Australia/WA1627/2022	Oceania	Australia
Australia/WA1639/2022	Oceania	Australia
Australia/WA1648/2022	Oceania	Australia
Australia/WA1649/2022	Oceania	Australia
Australia/WA1651/2022	Oceania	Australia
Australia/WA1660/2022	Oceania	Australia
Australia/WA1598/2022	Oceania	Australia
Australia/WA1684/2022	Oceania	Australia
Australia/WA1711/2022	Oceania	Australia
Australia/WA860/2021	Oceania	Australia
Australia/WA877/2021	Oceania	Australia
Australia/WA915/2022	Oceania	Australia
Australia/WA919/2022	Oceania	Australia
Australia/WA963/2022	Oceania	Australia
Australia/WA971/2022	Oceania	Australia
Australia/WA984/2022	Oceania	Australia
Japan/IC-3303/2022	Asia	Japan
Australia/WA1702/2022	Oceania	Australia
Australia/VIC38095/2022	Oceania	Australia
Australia/WA1569/2022	Oceania	Australia
Australia/WA1548/2022	Oceania	Australia
Australia/WA1130/2022	Oceania	Australia
Australia/WA1157/2022	Oceania	Australia
Australia/WA1158/2022	Oceania	Australia
Australia/WA1175/2022	Oceania	Australia
Australia/WA1186/2022	Oceania	Australia
Australia/WA1187/2022	Oceania	Australia
Australia/WA1188/2022	Oceania	Australia
Australia/QLD38534/2022	Oceania	Australia
Australia/WA1218/2022	Oceania	Australia
Australia/WA1564/2022	Oceania	Australia
Australia/WA1276/2022	Oceania	Australia
Australia/WA1300/2022	Oceania	Australia
Australia/WA1329/2022	Oceania	Australia
Australia/WA1361/2022	Oceania	Australia
Australia/WA1368/2022	Oceania	Australia
Australia/WA1417/2022	Oceania	Australia
Australia/WA1422/2022	Oceania	Australia
Australia/WA1434/2022	Oceania	Australia
Australia/WA1450/2022	Oceania	Australia
Australia/WA1546/2022	Oceania	Australia
Australia/WA1280/2022	Oceania	Australia
Australia/VIC38086/2022	Oceania	Australia
Australia/VIC38072/2022	Oceania	Australia
Australia/VIC38052/2022	Oceania	Australia
Australia/VIC36253/2022	Oceania	Australia
Australia/VIC36266/2022	Oceania	Australia
Australia/VIC36268/2022	Oceania	Australia
Australia/VIC36276/2022	Oceania	Australia
Australia/VIC36282/2022	Oceania	Australia
Australia/VIC36299/2022	Oceania	Australia
Australia/VIC36339/2022	Oceania	Australia
Australia/VIC36375/2021	Oceania	Australia
