strain	region	country																				
Australia/SA115801/2022	Oceania	Australia																				
Australia/SA115703/2022	Oceania	Australia																				
Australia/SA117454/2022	Oceania	Australia																				
Australia/SA115885/2022	Oceania	Australia																				
Australia/SA116954/2022	Oceania	Australia																				
Australia/SA119972/2022	Oceania	Australia																				
Australia/SA117854/2022	Oceania	Australia																				
Australia/SA119899/2022	Oceania	Australia																				
Australia/SA122788/2022	Oceania	Australia																				
Australia/SA120329/2022	Oceania	Australia																				
Australia/SA121134/2022	Oceania	Australia																				
Australia/SA122384/2022	Oceania	Australia																				
Australia/SA110590/2022	Oceania	Australia																				
Australia/SA122486/2022	Oceania	Australia																				
Australia/SA122612/2022	Oceania	Australia																				
Australia/SA117793/2022	Oceania	Australia																				
Australia/SA108023/2022	Oceania	Australia																				
Australia/QLD4777/2021	Oceania	Australia																				
Australia/SA104992/2022	Oceania	Australia																				
Australia/QLD39971/2022	Oceania	Australia																				
Australia/SA122876/2022	Oceania	Australia																				
Australia/QLD39902/2022	Oceania	Australia																				
Australia/QLD4122/2021	Oceania	Australia																				
Australia/QLD4200/2021	Oceania	Australia																				
Australia/QLD4334/2021	Oceania	Australia																				
Australia/QLD4426/2021	Oceania	Australia																				
Australia/QLD5541/2021	Oceania	Australia																				
Australia/QLD5627/2021	Oceania	Australia																				
Australia/SA105006/2022	Oceania	Australia																				
Australia/QLD5996/2021	Oceania	Australia																				
Australia/SA101425/2022	Oceania	Australia																				
Australia/SA101819/2022	Oceania	Australia																				
Australia/SA101823/2022	Oceania	Australia																				
Australia/SA101889/2022	Oceania	Australia																				
Australia/SA103964/2022	Oceania	Australia																				
Australia/SA104567/2022	Oceania	Australia																				
Australia/SA104663/2022	Oceania	Australia																				
Australia/SA104792/2022	Oceania	Australia																				
Australia/SA104946/2022	Oceania	Australia																				
Australia/QLD8343/2021	Oceania	Australia																				
Australia/SA127210/2022	Oceania	Australia																				
Australia/SA72541/2022	Oceania	Australia																				
Australia/SA127380/2022	Oceania	Australia																				
Australia/SA64506/2022	Oceania	Australia																				
Australia/SA6533/2021	Oceania	Australia																				
Australia/SA65851/2022	Oceania	Australia																				
Australia/SA70252/2022	Oceania	Australia																				
Australia/SA70516/2022	Oceania	Australia																				
Australia/SA70804/2022	Oceania	Australia																				
Australia/SA70829/2022	Oceania	Australia																				
Australia/SA70961/2022	Oceania	Australia																				
Australia/SA72129/2022	Oceania	Australia																				
Australia/SA63988/2022	Oceania	Australia																				
Australia/SA72151/2022	Oceania	Australia																				
Australia/SA86221/2022	Oceania	Australia																				
Australia/SA89295/2022	Oceania	Australia																				
Australia/SA91927/2022	Oceania	Australia																				
Australia/SA92199/2022	Oceania	Australia																				
Australia/SA99597/2022	Oceania	Australia																				
Australia/VIC29845/2021	Oceania	Australia																				
Australia/VIC31459/2021	Oceania	Australia																				
Australia/QLD39899/2022	Oceania	Australia																				
Australia/VIC31591/2021	Oceania	Australia																				
Australia/SA83502/2022	Oceania	Australia																				
Australia/SA127218/2022	Oceania	Australia																				
Australia/SA62793/2022	Oceania	Australia																				
Australia/SA59480/2022	Oceania	Australia																				
Australia/SA127923/2022	Oceania	Australia																				
Australia/SA128086/2022	Oceania	Australia																				
Australia/SA128650/2022	Oceania	Australia																				
Australia/SA129365/2022	Oceania	Australia																				
Australia/SA129391/2022	Oceania	Australia																				
Australia/SA129444/2022	Oceania	Australia																				
Australia/SA134039/2022	Oceania	Australia																				
Australia/SA134059/2022	Oceania	Australia																				
Australia/SA134618/2022	Oceania	Australia																				
Australia/SA59921/2022	Oceania	Australia																				
Australia/SA134855/2022	Oceania	Australia																				
Australia/SA135031/2022	Oceania	Australia																				
Australia/SA135652/2022	Oceania	Australia																				
Australia/SA135733/2022	Oceania	Australia																				
Australia/SA135754/2022	Oceania	Australia																				
Australia/SA21432/2022	Oceania	Australia																				
Australia/SA27300/2022	Oceania	Australia																				
Australia/SA4471/2021	Oceania	Australia																				
Australia/SA45262/2022	Oceania	Australia																				
Australia/SA47052/2022	Oceania	Australia																				
Australia/SA134860/2022	Oceania	Australia																				
Australia/QLD39890/2022	Oceania	Australia																				
Australia/QLD38248/2022	Oceania	Australia																				
Australia/QLD39872/2022	Oceania	Australia																				
Australia/QLD38350/2022	Oceania	Australia																				
Australia/QLD38356/2022	Oceania	Australia																				
Australia/QLD38361/2022	Oceania	Australia																				
Australia/QLD38366/2022	Oceania	Australia																				
Australia/QLD38368/2022	Oceania	Australia																				
Australia/QLD38377/2022	Oceania	Australia																				
Australia/QLD38389/2022	Oceania	Australia																				
Australia/QLD38394/2022	Oceania	Australia																				
Australia/QLD38411/2022	Oceania	Australia																				
Australia/QLD38412/2022	Oceania	Australia																				
Australia/QLD38441/2022	Oceania	Australia																				
Australia/QLD38446/2022	Oceania	Australia																				
Australia/QLD38457/2022	Oceania	Australia																				
Australia/QLD38487/2022	Oceania	Australia																				
Australia/QLD38492/2022	Oceania	Australia																				
Australia/QLD38515/2022	Oceania	Australia																				
Australia/QLD38534/2022	Oceania	Australia																				
Australia/QLD38535/2022	Oceania	Australia																				
Australia/QLD38543/2022	Oceania	Australia																				
Australia/QLD38326/2022	Oceania	Australia																				
Australia/QLD38314/2022	Oceania	Australia																				
Australia/QLD38311/2022	Oceania	Australia																				
Australia/QLD38292/2022	Oceania	Australia																				
Australia/VIC31646/2021	Oceania	Australia																				
Australia/QLD38025/2022	Oceania	Australia																				
Australia/QLD38035/2022	Oceania	Australia																				
Australia/QLD38058/2022	Oceania	Australia																				
Australia/QLD38077/2022	Oceania	Australia																				
Australia/QLD38135/2022	Oceania	Australia																				
Australia/QLD38138/2022	Oceania	Australia																				
